Driver,FP1AvgPace,FP1LapCount,Year,RoundNumber,EventName
ALB,97.51014285714284,7.0,2025,1,Australian Grand Prix
ALO,89.62708333333335,12.0,2025,1,Australian Grand Prix
ANT,87.38180000000001,10.0,2025,1,Australian Grand Prix
BEA,103.16000000000001,6.0,2025,1,Australian Grand Prix
BOR,100.63839999999999,10.0,2025,1,Australian Grand Prix
DOO,97.3933,10.0,2025,1,Australian Grand Prix
GAS,89.2739,10.0,2025,1,Australian Grand Prix
HAD,94.44145454545455,11.0,2025,1,Australian Grand Prix
HAM,99.598,6.0,2025,1,Australian Grand Prix
HUL,105.42942857142857,7.0,2025,1,Australian Grand Prix
LAW,101.22677777777777,9.0,2025,1,Australian Grand Prix
LEC,97.11099999999999,10.0,2025,1,Australian Grand Prix
NOR,95.0543,10.0,2025,1,Australian Grand Prix
OCO,94.58333333333333,6.0,2025,1,Australian Grand Prix
PIA,95.66777777777777,9.0,2025,1,Australian Grand Prix
RUS,99.6853846153846,13.0,2025,1,Australian Grand Prix
SAI,93.26671428571429,14.0,2025,1,Australian Grand Prix
STR,95.22911111111111,9.0,2025,1,Australian Grand Prix
TSU,80.5217142857143,7.0,2025,1,Australian Grand Prix
VER,95.23670000000001,10.0,2025,1,Australian Grand Prix
ALB,107.76636363636364,11.0,2025,2,Chinese Grand Prix
ALO,102.5053,10.0,2025,2,Chinese Grand Prix
ANT,105.72143750000001,16.0,2025,2,Chinese Grand Prix
BEA,107.55415384615384,13.0,2025,2,Chinese Grand Prix
BOR,106.02158333333334,12.0,2025,2,Chinese Grand Prix
DOO,98.40833333333335,9.0,2025,2,Chinese Grand Prix
GAS,104.0835,10.0,2025,2,Chinese Grand Prix
HAD,102.30819999999999,10.0,2025,2,Chinese Grand Prix
HAM,103.21950000000001,8.0,2025,2,Chinese Grand Prix
HUL,104.66911111111112,9.0,2025,2,Chinese Grand Prix
LAW,112.01291666666667,12.0,2025,2,Chinese Grand Prix
LEC,98.0522857142857,7.0,2025,2,Chinese Grand Prix
NOR,102.72033333333336,12.0,2025,2,Chinese Grand Prix
OCO,101.86372727272729,11.0,2025,2,Chinese Grand Prix
PIA,105.17707692307691,13.0,2025,2,Chinese Grand Prix
RUS,100.55415384615384,13.0,2025,2,Chinese Grand Prix
SAI,104.79558333333334,12.0,2025,2,Chinese Grand Prix
STR,101.56728571428572,7.0,2025,2,Chinese Grand Prix
TSU,111.041,11.0,2025,2,Chinese Grand Prix
VER,105.9307857142857,14.0,2025,2,Chinese Grand Prix
ALB,102.77399999999997,10.0,2025,3,Japanese Grand Prix
ALO,103.39016666666667,12.0,2025,3,Japanese Grand Prix
ANT,96.07593333333332,15.0,2025,3,Japanese Grand Prix
BEA,98.21600000000001,5.0,2025,3,Japanese Grand Prix
BOR,98.84819999999999,15.0,2025,3,Japanese Grand Prix
GAS,104.34169230769231,13.0,2025,3,Japanese Grand Prix
HAD,105.14935714285714,14.0,2025,3,Japanese Grand Prix
HAM,98.39384615384617,13.0,2025,3,Japanese Grand Prix
HIR,104.6123,10.0,2025,3,Japanese Grand Prix
HUL,105.53399999999999,10.0,2025,3,Japanese Grand Prix
LAW,107.46708333333332,12.0,2025,3,Japanese Grand Prix
LEC,99.77613333333333,15.0,2025,3,Japanese Grand Prix
NOR,95.85836363636363,11.0,2025,3,Japanese Grand Prix
OCO,98.36428571428571,7.0,2025,3,Japanese Grand Prix
PIA,98.40328571428572,14.0,2025,3,Japanese Grand Prix
RUS,97.96388235294118,17.0,2025,3,Japanese Grand Prix
SAI,100.93758333333335,12.0,2025,3,Japanese Grand Prix
STR,107.82483333333334,12.0,2025,3,Japanese Grand Prix
TSU,104.78846153846153,13.0,2025,3,Japanese Grand Prix
VER,98.12808333333334,12.0,2025,3,Japanese Grand Prix
ALB,116.95349999999999,10.0,2025,4,Bahrain Grand Prix
BEG,102.70299999999999,9.0,2025,4,Bahrain Grand Prix
BOR,103.20010000000002,10.0,2025,4,Bahrain Grand Prix
BRO,113.58066666666667,3.0,2025,4,Bahrain Grand Prix
DOO,104.29825000000001,8.0,2025,4,Bahrain Grand Prix
DRU,106.20783333333334,6.0,2025,4,Bahrain Grand Prix
GAS,107.58988888888888,9.0,2025,4,Bahrain Grand Prix
HAD,103.90057142857142,7.0,2025,4,Bahrain Grand Prix
HAM,107.50341666666667,12.0,2025,4,Bahrain Grand Prix
HIR,105.45033333333333,6.0,2025,4,Bahrain Grand Prix
HUL,116.05476923076922,13.0,2025,4,Bahrain Grand Prix
IWA,106.31019999999998,5.0,2025,4,Bahrain Grand Prix
LAW,109.89500000000001,8.0,2025,4,Bahrain Grand Prix
NOR,98.93675,12.0,2025,4,Bahrain Grand Prix
OCO,103.92199999999998,6.0,2025,4,Bahrain Grand Prix
PIA,99.45758333333333,12.0,2025,4,Bahrain Grand Prix
STR,101.98162500000001,8.0,2025,4,Bahrain Grand Prix
TSU,115.55330000000001,10.0,2025,4,Bahrain Grand Prix
VES,106.25528571428572,14.0,2025,4,Bahrain Grand Prix
ALB,97.18488888888889,9.0,2025,5,Saudi Arabian Grand Prix
ALO,101.72918181818181,11.0,2025,5,Saudi Arabian Grand Prix
ANT,97.6764,10.0,2025,5,Saudi Arabian Grand Prix
BEA,94.2455,6.0,2025,5,Saudi Arabian Grand Prix
BOR,95.07211111111111,9.0,2025,5,Saudi Arabian Grand Prix
DOO,98.77011111111112,9.0,2025,5,Saudi Arabian Grand Prix
GAS,97.94910000000002,10.0,2025,5,Saudi Arabian Grand Prix
HAD,104.9114,5.0,2025,5,Saudi Arabian Grand Prix
HAM,97.6059090909091,11.0,2025,5,Saudi Arabian Grand Prix
HUL,93.93255555555555,9.0,2025,5,Saudi Arabian Grand Prix
LAW,109.053625,8.0,2025,5,Saudi Arabian Grand Prix
LEC,95.0573846153846,13.0,2025,5,Saudi Arabian Grand Prix
NOR,100.7195,12.0,2025,5,Saudi Arabian Grand Prix
OCO,108.92966666666668,9.0,2025,5,Saudi Arabian Grand Prix
PIA,104.75250000000001,12.0,2025,5,Saudi Arabian Grand Prix
RUS,100.05033333333331,6.0,2025,5,Saudi Arabian Grand Prix
SAI,105.21054545454544,11.0,2025,5,Saudi Arabian Grand Prix
STR,103.7569,10.0,2025,5,Saudi Arabian Grand Prix
TSU,98.07236363636365,11.0,2025,5,Saudi Arabian Grand Prix
VER,100.85608333333333,12.0,2025,5,Saudi Arabian Grand Prix
ALB,95.7712,10.0,2025,6,Miami Grand Prix
ALO,97.22477777777777,9.0,2025,6,Miami Grand Prix
ANT,92.0275882352941,17.0,2025,6,Miami Grand Prix
BEA,91.60754545454544,11.0,2025,6,Miami Grand Prix
BOR,97.33500000000001,8.0,2025,6,Miami Grand Prix
DOO,102.10607142857144,14.0,2025,6,Miami Grand Prix
GAS,104.63899999999997,14.0,2025,6,Miami Grand Prix
HAD,104.52499999999999,14.0,2025,6,Miami Grand Prix
HAM,89.86675,8.0,2025,6,Miami Grand Prix
HUL,89.526,2.0,2025,6,Miami Grand Prix
LAW,94.4979,10.0,2025,6,Miami Grand Prix
LEC,97.298,11.0,2025,6,Miami Grand Prix
NOR,103.70358333333333,12.0,2025,6,Miami Grand Prix
OCO,97.25366666666667,9.0,2025,6,Miami Grand Prix
PIA,97.94145454545455,11.0,2025,6,Miami Grand Prix
RUS,93.38657894736842,19.0,2025,6,Miami Grand Prix
SAI,95.63845454545454,11.0,2025,6,Miami Grand Prix
STR,98.145,8.0,2025,6,Miami Grand Prix
TSU,92.27833333333334,9.0,2025,6,Miami Grand Prix
VER,91.38411111111112,9.0,2025,6,Miami Grand Prix
ALB,109.68236363636365,11.0,2025,7,Emilia Romagna Grand Prix
ALO,88.43609090909091,11.0,2025,7,Emilia Romagna Grand Prix
ANT,80.99466666666666,9.0,2025,7,Emilia Romagna Grand Prix
BEA,79.19416666666667,6.0,2025,7,Emilia Romagna Grand Prix
BOR,92.43749999999999,12.0,2025,7,Emilia Romagna Grand Prix
COL,79.1434,5.0,2025,7,Emilia Romagna Grand Prix
GAS,77.4565,4.0,2025,7,Emilia Romagna Grand Prix
HAD,96.56275,8.0,2025,7,Emilia Romagna Grand Prix
HAM,83.17442857142858,7.0,2025,7,Emilia Romagna Grand Prix
HUL,93.46066666666667,12.0,2025,7,Emilia Romagna Grand Prix
LAW,92.29088888888889,9.0,2025,7,Emilia Romagna Grand Prix
LEC,91.6326,10.0,2025,7,Emilia Romagna Grand Prix
NOR,83.43099999999998,11.0,2025,7,Emilia Romagna Grand Prix
OCO,86.36328571428571,7.0,2025,7,Emilia Romagna Grand Prix
PIA,92.364,13.0,2025,7,Emilia Romagna Grand Prix
RUS,84.58059999999999,15.0,2025,7,Emilia Romagna Grand Prix
SAI,76.86033333333334,3.0,2025,7,Emilia Romagna Grand Prix
STR,93.15281818181819,11.0,2025,7,Emilia Romagna Grand Prix
TSU,100.66279999999999,5.0,2025,7,Emilia Romagna Grand Prix
VER,117.66600000000001,6.0,2025,7,Emilia Romagna Grand Prix
ALB,89.33342857142857,21.0,2025,8,Monaco Grand Prix
ALO,89.37975,16.0,2025,8,Monaco Grand Prix
ANT,94.86520833333333,24.0,2025,8,Monaco Grand Prix
BEA,86.32136363636363,22.0,2025,8,Monaco Grand Prix
BOR,89.93183333333334,18.0,2025,8,Monaco Grand Prix
COL,91.33324999999999,20.0,2025,8,Monaco Grand Prix
GAS,93.24376190476191,21.0,2025,8,Monaco Grand Prix
HAD,87.03392,25.0,2025,8,Monaco Grand Prix
HAM,91.72616666666666,18.0,2025,8,Monaco Grand Prix
HUL,91.89665,20.0,2025,8,Monaco Grand Prix
LAW,87.6897407407407,27.0,2025,8,Monaco Grand Prix
LEC,88.44908695652173,23.0,2025,8,Monaco Grand Prix
NOR,86.64545000000001,20.0,2025,8,Monaco Grand Prix
OCO,89.05180952380954,21.0,2025,8,Monaco Grand Prix
PIA,89.17385714285714,14.0,2025,8,Monaco Grand Prix
RUS,91.21910526315791,19.0,2025,8,Monaco Grand Prix
SAI,89.62195454545456,22.0,2025,8,Monaco Grand Prix
TSU,93.70457142857143,21.0,2025,8,Monaco Grand Prix
VER,92.74427777777778,18.0,2025,8,Monaco Grand Prix
ALO,90.027,10.0,2025,9,Spanish Grand Prix
ANT,83.53752631578948,19.0,2025,9,Spanish Grand Prix
BEA,90.25859999999999,15.0,2025,9,Spanish Grand Prix
BOR,90.2416,10.0,2025,9,Spanish Grand Prix
COL,87.46116666666667,6.0,2025,9,Spanish Grand Prix
GAS,90.37150000000001,12.0,2025,9,Spanish Grand Prix
HAD,93.94518181818181,11.0,2025,9,Spanish Grand Prix
HAM,88.4836875,16.0,2025,9,Spanish Grand Prix
HIR,95.90388888888889,9.0,2025,9,Spanish Grand Prix
HUL,92.68622222222221,9.0,2025,9,Spanish Grand Prix
LAW,95.41733333333333,15.0,2025,9,Spanish Grand Prix
LEC,86.58917647058824,17.0,2025,9,Spanish Grand Prix
MAR,94.59184615384619,13.0,2025,9,Spanish Grand Prix
NOR,87.045125,16.0,2025,9,Spanish Grand Prix
PIA,86.35607692307691,13.0,2025,9,Spanish Grand Prix
RUS,82.95400000000001,20.0,2025,9,Spanish Grand Prix
SAI,82.13472727272728,11.0,2025,9,Spanish Grand Prix
STR,95.47207692307694,13.0,2025,9,Spanish Grand Prix
TSU,90.76493333333332,15.0,2025,9,Spanish Grand Prix
VER,78.34633333333333,6.0,2025,9,Spanish Grand Prix
ALB,90.95700000000001,18.0,2025,10,Canadian Grand Prix
ALO,81.20892307692309,13.0,2025,10,Canadian Grand Prix
ANT,90.19231250000001,16.0,2025,10,Canadian Grand Prix
BEA,91.90033333333334,18.0,2025,10,Canadian Grand Prix
BOR,88.20388888888891,18.0,2025,10,Canadian Grand Prix
COL,94.09764705882353,17.0,2025,10,Canadian Grand Prix
GAS,96.476,19.0,2025,10,Canadian Grand Prix
HAD,84.6223125,16.0,2025,10,Canadian Grand Prix
HAM,88.838875,16.0,2025,10,Canadian Grand Prix
HUL,85.57107142857144,14.0,2025,10,Canadian Grand Prix
LAW,91.70152941176471,17.0,2025,10,Canadian Grand Prix
LEC,100.53139999999999,5.0,2025,10,Canadian Grand Prix
NOR,86.51566666666666,18.0,2025,10,Canadian Grand Prix
OCO,87.6039090909091,11.0,2025,10,Canadian Grand Prix
PIA,93.16978571428571,14.0,2025,10,Canadian Grand Prix
RUS,82.62771428571429,14.0,2025,10,Canadian Grand Prix
SAI,94.2482105263158,19.0,2025,10,Canadian Grand Prix
STR,89.93933333333332,12.0,2025,10,Canadian Grand Prix
TSU,97.72117647058823,17.0,2025,10,Canadian Grand Prix
VER,91.07957142857143,14.0,2025,10,Canadian Grand Prix
ALB,83.73054545454545,22.0,2025,11,Austrian Grand Prix
ALO,79.28181818181818,22.0,2025,11,Austrian Grand Prix
ANT,74.5016842105263,19.0,2025,11,Austrian Grand Prix
BEA,79.3365294117647,17.0,2025,11,Austrian Grand Prix
BEG,80.83254545454545,22.0,2025,11,Austrian Grand Prix
BOR,74.91155,20.0,2025,11,Austrian Grand Prix
COL,83.23466666666667,21.0,2025,11,Austrian Grand Prix
DUN,72.42246153846155,13.0,2025,11,Austrian Grand Prix
GAS,85.49572727272727,22.0,2025,11,Austrian Grand Prix
HAD,80.29273684210526,19.0,2025,11,Austrian Grand Prix
HAM,78.93820000000001,5.0,2025,11,Austrian Grand Prix
HUL,74.67605882352942,17.0,2025,11,Austrian Grand Prix
LAW,86.19947368421053,19.0,2025,11,Austrian Grand Prix
OCO,83.50384210526315,19.0,2025,11,Austrian Grand Prix
PIA,79.10242857142856,21.0,2025,11,Austrian Grand Prix
RUS,76.43776190476191,21.0,2025,11,Austrian Grand Prix
SAI,76.54452941176471,17.0,2025,11,Austrian Grand Prix
STR,83.84427272727272,22.0,2025,11,Austrian Grand Prix
TSU,74.47893333333333,15.0,2025,11,Austrian Grand Prix
VER,75.2984375,16.0,2025,11,Austrian Grand Prix
ALB,106.6945,18.0,2025,12,British Grand Prix
ALO,95.64741666666664,12.0,2025,12,British Grand Prix
ANT,96.17654545454546,11.0,2025,12,British Grand Prix
ARO,108.37746153846155,13.0,2025,12,British Grand Prix
BEA,100.71418181818184,11.0,2025,12,British Grand Prix
BOR,104.95453333333334,15.0,2025,12,British Grand Prix
COL,92.35745454545454,11.0,2025,12,British Grand Prix
GAS,106.00677777777777,9.0,2025,12,British Grand Prix
HAD,106.27437499999999,16.0,2025,12,British Grand Prix
HAM,101.81615384615385,13.0,2025,12,British Grand Prix
LAW,99.12645454545454,11.0,2025,12,British Grand Prix
LEC,98.25281818181817,11.0,2025,12,British Grand Prix
LIN,105.53075,8.0,2025,12,British Grand Prix
NOR,102.388,15.0,2025,12,British Grand Prix
