Driver,Compound,FP2AvgPace,FP2BestPace,FP2DegRate,FP2LapCount,FP2AvgTyreLife,Year,RoundNumber,EventName,SessionSource
VER,MEDIUM,95.0029,93.726,0.0170484848484857,10.0,14.5,2024,2,Saudi Arabian Grand Prix,FP2
ZHO,MEDIUM,100.10381818181818,94.714,2.46589090909091,11.0,14.0,2024,2,Saudi Arabian Grand Prix,FP2
BOT,HARD,100.3458181818182,95.407,1.7772636363636372,11.0,13.0,2024,2,Saudi Arabian Grand Prix,FP2
GAS,MEDIUM,100.16272727272728,94.713,2.327227272727269,11.0,15.0,2024,2,Saudi Arabian Grand Prix,FP2
HUL,HARD,95.67188888888889,95.267,0.0759833333333337,9.0,14.0,2024,2,Saudi Arabian Grand Prix,FP2
LEC,SOFT,94.50875,93.886,-0.1281904761904733,8.0,10.5,2024,2,Saudi Arabian Grand Prix,FP2
MAG,SOFT,99.75441666666669,95.051,1.9277097902097904,12.0,12.5,2024,2,Saudi Arabian Grand Prix,FP2
NOR,HARD,100.12916666666666,94.179,4.596314285714292,6.0,9.5,2024,2,Saudi Arabian Grand Prix,FP2
OCO,MEDIUM,100.3244,94.899,2.6730666666666645,10.0,13.5,2024,2,Saudi Arabian Grand Prix,FP2
PER,MEDIUM,94.5362,94.012,-0.0113642857142882,15.0,15.0,2024,2,Saudi Arabian Grand Prix,FP2
PIA,MEDIUM,95.15585714285714,94.414,0.1864642857142837,7.0,13.0,2024,2,Saudi Arabian Grand Prix,FP2
RIC,SOFT,99.75181818181818,94.682,2.299481818181818,11.0,13.0,2024,2,Saudi Arabian Grand Prix,FP2
SAI,MEDIUM,101.958125,94.12,4.330988095238096,8.0,12.5,2024,2,Saudi Arabian Grand Prix,FP2
SAR,MEDIUM,96.9384,95.213,-0.2428121212121187,10.0,13.5,2024,2,Saudi Arabian Grand Prix,FP2
STR,MEDIUM,95.32666666666664,94.667,0.1198000000000012,9.0,13.0,2024,2,Saudi Arabian Grand Prix,FP2
TSU,SOFT,98.244,95.179,1.052000000000001,13.0,13.0,2024,2,Saudi Arabian Grand Prix,FP2
ALB,HARD,98.4856153846154,94.53,1.3945989010989013,13.0,15.0,2024,2,Saudi Arabian Grand Prix,FP2
ALO,MEDIUM,97.57292307692306,94.506,1.0693021978021982,13.0,15.0,2024,2,Saudi Arabian Grand Prix,FP2
ALO,MEDIUM,84.49538461538462,83.348,-0.0283516483516483,13.0,13.0,2024,3,Australian Grand Prix,FP2
