Driver,FP3AvgPace,FP3BestPace,FP3LapCount,Year,RoundNumber,EventName,SessionSource
ALB,105.97155555555554,76.258,9.0,2025,1,Australian Grand Prix,
ALO,91.764625,77.27,8.0,2025,1,Australian Grand Prix,
ANT,83.2482,76.206,5.0,2025,1,Australian Grand Prix,
BOR,96.38733333333334,77.448,3.0,2025,1,Australian Grand Prix,
DOO,93.04525000000001,76.993,4.0,2025,1,Australian Grand Prix,
GAS,94.181375,76.719,8.0,2025,1,Australian Grand Prix,
HAD,98.63737499999999,76.732,8.0,2025,1,Australian Grand Prix,
HAM,98.24714285714286,76.378,7.0,2025,1,Australian Grand Prix,
HUL,101.82975,77.146,4.0,2025,1,Australian Grand Prix,
LEC,76.77559999999998,76.188,5.0,2025,1,Australian Grand Prix,
NOR,101.91857142857143,76.597,7.0,2025,1,Australian Grand Prix,
OCO,105.020125,77.373,8.0,2025,1,Australian Grand Prix,
PIA,107.09357142857142,75.921,7.0,2025,1,Australian Grand Prix,
RUS,76.181,75.96,2.0,2025,1,Australian Grand Prix,
SAI,100.2226,76.252,10.0,2025,1,Australian Grand Prix,
STR,103.28699999999999,77.328,12.0,2025,1,Australian Grand Prix,
TSU,110.755625,76.895,8.0,2025,1,Australian Grand Prix,
VER,92.06866666666667,76.646,3.0,2025,1,Australian Grand Prix,
ALB,106.200875,91.539,8.0,2025,2,Chinese Grand Prix,SprintQuali
ALO,112.25750000000001,91.815,4.0,2025,2,Chinese Grand Prix,SprintQuali
ANT,103.91755555555557,91.475,9.0,2025,2,Chinese Grand Prix,SprintQuali
BEA,92.515,91.978,3.0,2025,2,Chinese Grand Prix,SprintQuali
BOR,100.18199999999999,92.539,4.0,2025,2,Chinese Grand Prix,SprintQuali
DOO,108.61375,92.575,4.0,2025,2,Chinese Grand Prix,SprintQuali
GAS,109.97025,92.64,4.0,2025,2,Chinese Grand Prix,SprintQuali
HAD,92.5025,92.171,2.0,2025,2,Chinese Grand Prix,SprintQuali
HAM,101.94828571428573,90.849,7.0,2025,2,Chinese Grand Prix,SprintQuali
HUL,92.765,92.675,2.0,2025,2,Chinese Grand Prix,SprintQuali
LAW,114.61333333333334,92.729,3.0,2025,2,Chinese Grand Prix,SprintQuali
LEC,101.634,91.057,7.0,2025,2,Chinese Grand Prix,SprintQuali
NOR,106.21942857142858,91.174,7.0,2025,2,Chinese Grand Prix,SprintQuali
OCO,93.2125,92.651,2.0,2025,2,Chinese Grand Prix,SprintQuali
PIA,105.93171428571428,90.929,7.0,2025,2,Chinese Grand Prix,SprintQuali
RUS,109.65025000000001,91.169,12.0,2025,2,Chinese Grand Prix,SprintQuali
SAI,97.7805,92.325,4.0,2025,2,Chinese Grand Prix,SprintQuali
STR,103.47433333333333,91.742,6.0,2025,2,Chinese Grand Prix,SprintQuali
TSU,92.27875,91.773,4.0,2025,2,Chinese Grand Prix,SprintQuali
VER,91.65825000000001,90.867,4.0,2025,2,Chinese Grand Prix,SprintQuali
ALB,103.16644444444445,90.159,9.0,2025,3,Japanese Grand Prix,
ALO,106.76244444444443,89.772,9.0,2025,3,Japanese Grand Prix,
ANT,102.6036,92.707,10.0,2025,3,Japanese Grand Prix,
BEA,94.49687499999999,90.084,8.0,2025,3,Japanese Grand Prix,
BOR,111.71375,90.134,4.0,2025,3,Japanese Grand Prix,
DOO,122.80666666666666,90.268,6.0,2025,3,Japanese Grand Prix,
GAS,103.43275,89.555,4.0,2025,3,Japanese Grand Prix,
HAD,96.529,89.685,5.0,2025,3,Japanese Grand Prix,
HAM,88.745,88.54,2.0,2025,3,Japanese Grand Prix,
HUL,93.685375,90.621,8.0,2025,3,Japanese Grand Prix,
LAW,94.46144444444444,90.246,9.0,2025,3,Japanese Grand Prix,
LEC,118.4245,88.783,2.0,2025,3,Japanese Grand Prix,
NOR,107.4188,87.965,10.0,2025,3,Japanese Grand Prix,
OCO,99.3308888888889,90.183,9.0,2025,3,Japanese Grand Prix,
PIA,103.53875,88.017,8.0,2025,3,Japanese Grand Prix,
